Year,Total no. of divorces,Total marriages,Proportion of unsucessful marriages,proportion of succesful marriages,Average no. of children for ever-married females,proportion of married couples with kids with a house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,4920,22561,0.22,0.78,2.13,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,4819,22280,0.22,0.78,2.09,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5522,23198,0.24,0.76,2.03,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,6100,21962,0.28,0.72,2.03,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5850,22189,0.26,0.74,2.04,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6393,22992,0.28,0.72,1.97,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6527,23706,0.28,0.72,1.93,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6697,23966,0.28,0.72,1.92,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,6771,24596,0.28,0.72,1.90,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,6927,26081,0.27,0.73,1.90,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6969,24363,0.29,0.71,1.86,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7234,27258,0.27,0.73,1.82,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,6893,27936,0.25,0.75,1.81,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,7133,26254,0.27,0.73,1.78,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,6861,28407,0.24,0.76,1.78,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7117,28322,0.25,0.75,1.74,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,7207,27971,0.26,0.74,1.74,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,7207,28212,0.26,0.74,1.72,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6990,27007,0.26,0.74,1.68,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,7330,25434,0.29,0.71,1.68,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,6708,22651,0.30,0.70,1.60,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,7674,"28,329",0.27,0.73,1.61,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
