area,year,population,iso_alpha
Central,2000,845932,SG-01
Central,2010,870057,SG-01
Central,2015,871720,SG-01
Central,2020,847300,SG-01
Northeast,2000,638925,SG-02
Northeast,2010,829662,SG-02
Northeast,2015,920640,SG-02
Northeast,2020,1028180,SG-02
Northwest,2000,555304,SG-03
Northwest,2010,702103,SG-03
Northwest,2015,742290,SG-03
Northwest,2020,795510,SG-03
Southeast,2000,566519,SG-04
Southeast,2010,598545,SG-04
Southeast,2015,597860,SG-04
Southeast,2020,582280,SG-04
Southwest,2000,645890,SG-05
Southwest,2010,765005,SG-05
Southwest,2015,762870,SG-05
Southwest,2020,783420,SG-05
